night_of,average_darkness,median_darkness,mean_cloud_cover,mean_snow_cover
2024-05-05,19.20902777777778,19.21,15.333333333333334,0.0
2024-05-06,19.210422535211276,19.21,31.583333333333332,0.0
2024-05-08,,,5.458333333333333,0.0
2024-05-10,,,31.333333333333332,0.0
2024-05-11,,,11.125,0.0
2024-05-12,,,18.583333333333332,0.0
2024-05-15,,,8.25,0.0
2024-05-17,,,11.958333333333334,0.0
2024-05-18,,,9.291666666666666,0.0
2024-05-19,,,10.583333333333334,0.0
2024-05-23,,,8.916666666666666,0.0
2024-05-25,,,12.0,0.0
2024-05-29,18.68777777777778,18.64,31.5,0.0
2024-05-30,20.278125,20.3,0.875,0.0
2024-05-31,20.217297297297296,20.25,30.083333333333332,0.0
2024-06-06,19.119711538461537,18.89,20.25,0.0
2024-06-07,20.293557692307694,20.37,21.791666666666668,0.0
2024-06-09,20.328048780487805,20.335,8.875,0.0
2024-06-10,18.408676470588233,18.45,23.166666666666668,0.0
2024-06-11,20.23392857142857,20.27,12.458333333333334,0.0
2024-06-12,20.024583333333336,20.195,24.708333333333332,0.0
2024-06-13,20.320249999999998,20.305,29.875,0.0
2024-06-14,20.424411764705884,20.405,6.708333333333333,0.0
2024-06-17,20.022499999999997,20.09,10.791666666666666,0.0
2024-06-18,19.605,19.605,31.125,0.0
2024-06-19,,,17.5,0.0
2024-06-24,,,24.25,0.0
2024-06-30,20.20652173913044,20.4,16.291666666666668,0.0
2024-07-01,20.43833333333333,20.36,26.916666666666668,0.0
2024-07-06,20.304150943396223,20.36,13.333333333333334,0.0
2024-07-12,20.26461538461538,20.27,15.25,0.0
2024-07-13,20.220000000000002,20.23,37.958333333333336,0.0
2024-07-17,20.29444444444444,20.39,12.166666666666666,0.0
2024-07-18,20.288999999999998,20.314999999999998,16.833333333333332,0.0
2024-07-19,,,33.083333333333336,0.0
2024-07-20,,,31.166666666666668,0.0
2024-07-21,,,32.583333333333336,0.0
2024-07-22,,,26.625,0.0
2024-07-25,,,22.125,0.0
2024-07-26,19.915,19.915,9.583333333333334,0.0
2024-07-27,19.942857142857147,20.04,16.541666666666668,0.0
2024-07-30,20.2216,20.27,26.791666666666668,0.0
2024-07-31,20.226363636363637,20.28,25.375,0.0
2024-08-03,20.191594202898546,20.22,25.625,0.0
2024-08-04,19.481857142857145,19.465,23.625,0.0
2024-08-07,20.113150684931508,20.29,8.25,0.0
2024-08-08,20.167887323943663,20.29,38.708333333333336,0.0
2024-08-09,20.20661764705883,20.43,29.875,0.0
2024-08-10,20.358307692307694,20.4,12.333333333333334,0.0
2024-08-11,20.383278688524594,20.42,7.416666666666667,0.0
2024-08-12,19.80157894736842,19.98,23.416666666666668,0.0
2024-08-13,20.341538461538462,20.37,27.208333333333332,0.0
2024-08-14,20.363409090909087,20.375,37.0,0.0
2024-08-17,18.881,18.84,34.333333333333336,0.0
2024-08-19,,,38.5,0.0
2024-08-20,,,28.208333333333332,0.0
2024-08-21,,,10.5,0.0
2024-08-22,,,7.833333333333333,0.0
2024-08-23,,,4.333333333333333,0.0
2024-08-24,,,13.25,0.0
2024-08-25,19.394,19.53,13.666666666666666,0.0
2024-08-26,19.817272727272726,20.09,14.125,0.0
2024-08-27,19.982,20.15,16.708333333333332,0.0
2024-08-31,20.05171428571429,20.27,4.625,0.0
2024-09-01,20.25694117647059,20.32,1.0,0.0
2024-09-02,20.256703296703297,20.39,19.458333333333332,0.0
2024-09-03,20.227065217391306,20.32,9.041666666666666,0.0
2024-09-04,20.326630434782608,20.405,2.4583333333333335,0.0
2024-09-05,20.331182795698926,20.37,16.0,0.0
2024-09-07,20.347391304347827,20.415,9.083333333333334,0.0
2024-09-08,19.790795454545453,19.795,5.666666666666667,0.0
2024-09-09,20.158690476190475,20.185000000000002,0.5833333333333334,0.0
2024-09-10,20.194805194805195,20.24,10.958333333333334,0.0
2024-09-11,19.495072463768114,19.47,10.666666666666666,0.0
2024-09-12,20.310862068965516,20.31,5.083333333333333,0.0
2024-09-13,19.949574468085107,19.92,21.416666666666668,0.0
2024-09-14,20.3696875,20.375,21.833333333333332,0.0
2024-09-15,19.852941176470583,19.87,31.458333333333332,0.0
2024-09-16,19.97,19.97,24.833333333333332,0.0
2024-09-17,,,11.291666666666666,0.0
2024-09-18,,,24.833333333333332,0.0
2024-09-19,,,21.291666666666668,0.0
2024-09-20,,,36.625,0.0
2024-09-21,,,27.583333333333332,0.0
2024-09-25,19.401481481481483,19.22,21.166666666666668,0.0
2024-09-26,19.75439024390244,20.04,15.666666666666666,0.0
2024-09-28,19.54246376811594,19.59,18.708333333333332,0.0
2024-09-29,20.296626506024094,20.35,8.583333333333334,0.0
2024-09-30,20.336249999999996,20.38,10.125,0.0
2024-10-01,20.089181818181814,20.295,23.25,0.0
2024-10-02,19.745818181818176,19.619999999999997,10.916666666666666,0.0
